job_title_normalized,category_clean,experience_bucket,state_region,avg_salary_myr
General - Accounting,Accounting,Intern/<1,Selangor,3000.0
Engineer,Engineering,Intern/<1,Selangor,3250.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",Intern/<1,Selangor,3150.0
General - Accounting,Accounting,1-3,Selangor,3750.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,2500.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Kuala Lumpur,3100.0
Manufacturing Administrative Support,"Manufacturing, Transport And Logistics",1-3,Selangor,1800.0
General - Accounting,Accounting,1-3,Kuala Lumpur,3750.0
HR Executive,Human Resources And Recruitment,1-3,Penang,3500.0
General - Sales,Sales,1-3,Sarawak,4250.0
General - IT,Information And Communication Technology,1-3,Kuala Lumpur,6000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,2750.0
Admin / Support,Accounting,Intern/<1,Selangor,3150.0
Qa / Software Testing Specialist,Information And Communication Technology,Intern/<1,Kuala Lumpur,5000.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Sabah,2500.0
Audit / Internal Audit,Accounting,1-3,Kuala Lumpur,3150.0
Engineer,Engineering,1-3,Selangor,3500.0
General - Accounting,Accounting,4-5,Kuala Lumpur,5250.0
Admin / Support,Accounting,1-3,Selangor,2250.0
Engineer,Engineering,1-3,Penang,3750.0
HR Executive,Human Resources And Recruitment,4-5,Selangor,7000.0
Secretary / Personal Assistant,Administration And Office Support,Intern/<1,Selangor,3750.0
Customer Service / Customer Support,Administration And Office Support,Intern/<1,Selangor,3450.0
Admin / Support,Accounting,Intern/<1,Johor,3000.0
Project / Planning / Coordination,Engineering,Intern/<1,Selangor,2500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,3650.0
HR Executive,Human Resources And Recruitment,4-5,Selangor,12500.0
Operations / Service Coordinator,Administration And Office Support,Intern/<1,Johor,2500.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Negeri Sembilan,4250.0
Data Analyst / Data Scientist,Information And Communication Technology,1-3,Selangor,4250.0
General - Sales,Sales,Intern/<1,Kuala Lumpur,4500.0
General - Accounting,Accounting,Intern/<1,Johor,3125.0
General - Accounting,Accounting,1-3,Kuala Lumpur,5000.0
General - Sales,Sales,Intern/<1,Selangor,4650.0
Secretary / Personal Assistant,Administration And Office Support,4-5,Selangor,4000.0
General - Sales,Sales,Intern/<1,Kuala Lumpur,3750.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Johor,2500.0
General - Accounting,Accounting,1-3,Selangor,4000.0
Software Developer,Information And Communication Technology,1-3,Kuala Lumpur,5000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,4000.0
HR Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,7500.0
General - Accounting,Accounting,Intern/<1,Penang,3700.0
Operations / Back Office,Banking And Financial Services,4-5,Kuala Lumpur,5500.0
General - Accounting,Accounting,6-10,Kuala Lumpur,8775.0
HR Executive,Human Resources And Recruitment,1-3,Johor,5450.0
HR Executive,Human Resources And Recruitment,Intern/<1,Penang,3750.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,5000.0
General - IT,Information And Communication Technology,4-5,Selangor,4650.0
Supply Chain & Planning,"Manufacturing, Transport And Logistics",6-10,Kuala Lumpur,5000.0
Engineer,Engineering,Intern/<1,Selangor,10000.0
General - Accounting,Accounting,1-3,Kuala Lumpur,4500.0
General - Accounting,Accounting,1-3,Johor,3750.0
Supply Chain & Planning,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,5000.0
Accountant / Full Set Accounting,Accounting,1-3,Perak,5000.0
Risk / Compliance / Aml / Fraud,Banking And Financial Services,Intern/<1,Kuala Lumpur,3400.0
General - Accounting,Accounting,4-5,Kuala Lumpur,4750.0
HR Executive,Human Resources And Recruitment,4-5,Johor,5250.0
General - Accounting,Accounting,Intern/<1,Selangor,2250.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Kuala Lumpur,5000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Selangor,3300.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,2500.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,3000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Melaka,1925.0
HR Executive,Human Resources And Recruitment,4-5,Selangor,5625.0
HR Executive,Human Resources And Recruitment,1-3,Johor,4000.0
General - Administration,Administration And Office Support,1-3,Kuala Lumpur,3250.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,3250.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Johor,3500.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,3125.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Johor,2250.0
Internship - Consulting & Strategy,Consulting And Strategy,1-3,Kuala Lumpur,1750.0
General - Administration,Administration And Office Support,Intern/<1,Kuala Lumpur,3750.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,1750.0
Engineer,Engineering,1-3,Penang,1050.0
General - IT,Information And Communication Technology,Intern/<1,Penang,3000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,2850.0
General - Accounting,Accounting,1-3,Johor,4350.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2400.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Kuala Lumpur,2500.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2500.0
General - Engineering,Engineering,1-3,Selangor,3850.0
Administrator / Office Executive,Administration And Office Support,1-3,Kuala Lumpur,4000.0
Admin / Support,Engineering,Intern/<1,Selangor,1900.0
HR Executive,Human Resources And Recruitment,1-3,Kedah,3000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,3150.0
General - Accounting,Accounting,Intern/<1,Kuala Lumpur,3500.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,1950.0
General - Administration,Administration And Office Support,Intern/<1,Johor,3600.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kuala Lumpur,2850.0
General - IT,Information And Communication Technology,1-3,Kuala Lumpur,10000.0
Risk / Compliance / Aml / Fraud,Banking And Financial Services,1-3,Labuan,3750.0
Admin / Support,Accounting,Intern/<1,Negeri Sembilan,2600.0
Admin / Support,Accounting,4-5,Selangor,7250.0
General - Administration,Administration And Office Support,4-5,Selangor,2550.0
Secretary / Personal Assistant,Administration And Office Support,4-5,Johor,6000.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,3600.0
